County,Region,City,Reporting Year,APN,Prior APN,Address,Project Name,Jurisdiction Tracking ID,Unit Category,Tenure,Date Submitted,Very Low Income Deed  (Restricted) ,Very Low Income Non Deed  (Restricted) ,Low Income Deed (Restricted) ,Low Income Non Deed  (Restricted) ,Moderate Income Deed (Restricted) ,Moderate Income Non Deed  (Restricted) ,Above Moderate Income,Total Proposed Units,Approved Units,Denied Units,SB 35 Application Submitted?,Notes,match_score,y_lat,x_long,place_addr
ALAMEDA,CA,ALAMEDA,2019,69-40-6-1,,1037 MOUND ST,,ADU19-0003,Accessory Dwelling Unit,Renter,7/25/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.755373619222006,-122.23920248364003,"1037 Mound St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,71-234-47,,2156 LINCOLN AVE APT A,,ADU20-0030,Accessory Dwelling Unit,Renter,7/16/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76865186926547,-122.24597714807545,"2156 Lincoln Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,74-1265-115,,300 HARBOR LIGHT RD,,ADU19-0026,Accessory Dwelling Unit,Renter,7/30/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.760599048560294,-122.26641306950788,"300 Harbor Light Rd, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,69-109-97,,3320 FERNSIDE BLVD,,ADU19-0022,Accessory Dwelling Unit,Renter,7/16/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.760451692316074,-122.22572527032774,"3320 Fernside Blvd, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2019,73-407-11,,823 LINCOLN AVE,,ADU19-0024,Accessory Dwelling Unit,Renter,7/10/19,0,0,0,0,0,0,1,1,1,0,No,,100,37.7751036719659,-122.27159221717929,"823 Lincoln Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,72-343-39,,1428 BENTON ST APT B,,ADU20-0018,Accessory Dwelling Unit,Renter,6/9/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77191737024641,-122.26086601607152,"1428 Benton St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,72-344-20,,1403 CENTRAL AVE,,ADU20-0028,Accessory Dwelling Unit,Renter,7/14/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77109118934297,-122.26209254445664,"1403 Central Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,73-398-30,,1214 NINTH ST APT A,,ADU20-0029,Accessory Dwelling Unit,Renter,7/14/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.769928925616036,-122.2706003696695,"1214 9th St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,72-343-39,,1428 BENTON ST APT A,,ADU20-0019,Accessory Dwelling Unit,Renter,6/9/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77191737024641,-122.26086601607152,"1428 Benton St, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,72-369-3,,1208 SANTA CLARA AVE,,ADU20-0017,Accessory Dwelling Unit,Renter,6/3/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77287666332411,-122.264105206817,"1208 Santa Clara Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,71-230-11,,2133 BUENA VISTA AVE,,ADU20-0016,Accessory Dwelling Unit,Renter,6/3/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.77081893462787,-122.24558805585738,"2133 Buena Vista Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,70-186-23,,1310 PARK AVE,,ADU20-0024,Accessory Dwelling Unit,Renter,6/26/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76233812027515,-122.24276464639026,"1310 Park Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,69*-136-1,,1098 VERSAILLES AVE APT A,,ADU20-0023,Accessory Dwelling Unit,Renter,6/25/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.7565315098391,-122.24063295723944,"1098 Versailles Ave, Alameda, California, 94501"
ALAMEDA,CA,ALAMEDA,2020,69-126-14,,2936 NORTHWOOD DR,,ADU20-0021,Accessory Dwelling Unit,Renter,6/24/20,0,0,0,0,0,0,1,1,1,0,No,,100,37.76386657015362,-122.23240082108434,"2936 Northwood Dr, Alameda, California, 94501"
